treatment,subject_id,round,tax_schedule,labor_endowment,labor_supply,income,post_reform,model
"Prog,Flat25",0,1,progressive,22,22,440,False,gemini-2.5-flash
"Prog,Flat25",0,2,progressive,15,15,300,False,gemini-2.5-flash
"Prog,Flat25",0,3,progressive,26,26,520,False,gemini-2.5-flash
"Prog,Flat25",0,4,progressive,24,24,480,False,gemini-2.5-flash
"Prog,Flat25",0,5,progressive,30,30,600,False,gemini-2.5-flash
"Prog,Flat25",0,6,progressive,17,17,340,False,gemini-2.5-flash
"Prog,Flat25",0,7,progressive,15,15,300,False,gemini-2.5-flash
"Prog,Flat25",0,8,progressive,15,15,300,False,gemini-2.5-flash
"Prog,Flat25",0,9,flat25,30,30,600,True,gemini-2.5-flash
"Prog,Flat25",0,10,flat25,17,10,200,True,gemini-2.5-flash
"Prog,Flat25",0,11,flat25,22,22,440,True,gemini-2.5-flash
"Prog,Flat25",0,12,flat25,29,29,580,True,gemini-2.5-flash
"Prog,Flat25",0,13,flat25,20,20,400,True,gemini-2.5-flash
"Prog,Flat25",0,14,flat25,20,20,400,True,gemini-2.5-flash
"Prog,Flat25",0,15,flat25,16,16,320,True,gemini-2.5-flash
"Prog,Flat25",0,16,flat25,25,25,500,True,gemini-2.5-flash
"Prog,Flat25",1,1,progressive,19,19,380,False,gemini-2.5-flash
"Prog,Flat25",1,2,progressive,21,21,420,False,gemini-2.5-flash
"Prog,Flat25",1,3,progressive,28,28,560,False,gemini-2.5-flash
"Prog,Flat25",1,4,progressive,15,15,300,False,gemini-2.5-flash
"Prog,Flat25",1,5,progressive,25,25,500,False,gemini-2.5-flash
"Prog,Flat25",1,6,progressive,21,21,420,False,gemini-2.5-flash
"Prog,Flat25",1,7,progressive,24,24,480,False,gemini-2.5-flash
"Prog,Flat25",1,8,progressive,15,15,300,False,gemini-2.5-flash
"Prog,Flat25",1,9,flat25,27,27,540,True,gemini-2.5-flash
"Prog,Flat25",1,10,flat25,16,16,320,True,gemini-2.5-flash
"Prog,Flat25",1,11,flat25,26,26,520,True,gemini-2.5-flash
"Prog,Flat25",1,12,flat25,30,30,600,True,gemini-2.5-flash
"Prog,Flat25",1,13,flat25,18,18,360,True,gemini-2.5-flash
"Prog,Flat25",1,14,flat25,19,19,380,True,gemini-2.5-flash
"Prog,Flat25",1,15,flat25,22,22,440,True,gemini-2.5-flash
"Prog,Flat25",1,16,flat25,18,18,360,True,gemini-2.5-flash
